Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
2015-16,WAS,NBA,82,41,41,0.5,-0.5,0,-0.5,98.5,105.3,105.8,0.511,13.1,20.6,0.192,0.515,14.6,22.3,0.218
2015-16,UTA,NBA,82,40,42,0.488,1.79,0.05,1.84,91,105.9,103.9,0.501,14.2,25.9,0.213,0.495,13.5,22.3,0.21
2015-16,TOR*,NBA,82,56,26,0.683,4.5,-0.42,4.08,92.9,110,105.2,0.504,12.3,24.6,0.255,0.498,12.7,22.3,0.201
2015-16,SAS*,NBA,82,67,15,0.817,10.63,-0.36,10.28,93.8,110.3,99,0.526,12.4,23,0.197,0.477,14.1,20.9,0.182
2015-16,SAC,NBA,82,33,49,0.402,-2.48,0.16,-2.32,100,106,108.4,0.51,14.2,23.9,0.214,0.521,14,25.1,0.202
2015-16,POR*,NBA,82,44,38,0.537,0.83,0.15,0.98,96,108.8,108,0.511,13.2,25.9,0.202,0.503,12.1,23.8,0.225
2015-16,PHO,NBA,82,23,59,0.28,-6.66,0.34,-6.32,98.5,102.2,109,0.487,15.2,25.4,0.204,0.523,13.5,22.9,0.237
2015-16,PHI,NBA,82,10,72,0.122,-10.23,0.31,-9.92,97.9,98.8,109.2,0.487,14.8,20.6,0.186,0.51,13.5,26,0.24
2015-16,ORL,NBA,82,35,47,0.427,-1.62,-0.06,-1.68,96,105.1,106.8,0.5,12.8,23.1,0.175,0.513,13.8,23.5,0.215
2015-16,OKC*,NBA,82,55,27,0.671,7.28,-0.19,7.09,96.7,113.1,105.6,0.524,14,31.1,0.228,0.484,11.7,24,0.205
2015-16,NYK,NBA,82,32,50,0.39,-2.73,0,-2.74,93.4,104.6,107.6,0.483,12.6,23.7,0.205,0.487,10.5,24.2,0.204
2015-16,NOP,NBA,82,30,52,0.366,-3.79,0.24,-3.56,96.8,105.6,109.5,0.498,12.3,21.2,0.201,0.523,12.7,21.2,0.225
2015-16,MIN,NBA,82,29,53,0.354,-3.54,0.15,-3.38,95.2,106.5,110.1,0.498,13.9,24.3,0.263,0.524,13.6,25.3,0.2
2015-16,MIL,NBA,82,33,49,0.402,-4.18,0.2,-3.98,94.2,104.3,108.7,0.499,14.2,24.9,0.207,0.51,14.2,26.9,0.221
2015-16,MIA*,NBA,82,48,34,0.585,1.65,-0.14,1.5,93.6,106.1,104.4,0.508,13.3,23.8,0.21,0.485,12.1,22.2,0.196
2015-16,MEM*,NBA,82,42,40,0.512,-2.24,0.11,-2.14,93.3,105.4,107.8,0.477,12.3,25.3,0.231,0.518,15.2,24.9,0.251
2015-16,LAL,NBA,82,17,65,0.207,-9.56,0.64,-8.92,95.6,101.6,111.6,0.46,12.5,23.1,0.228,0.523,11.6,25.3,0.202
2015-16,LAC*,NBA,82,53,29,0.646,4.28,-0.15,4.13,95.8,108.3,103.8,0.524,12.1,20.1,0.22,0.48,13.8,26.2,0.222
2015-16,IND*,NBA,82,45,37,0.549,1.71,-0.09,1.62,96.6,104.6,102.9,0.497,13.5,23.4,0.205,0.489,14.3,24,0.205
2015-16,HOU*,NBA,82,41,41,0.5,0.2,0.14,0.34,97.6,108.3,108.1,0.516,14.2,25.7,0.244,0.516,14.7,27.2,0.219
2015-16,GSW*,NBA,82,73,9,0.89,10.76,-0.38,10.38,99.3,114.5,103.8,0.563,13.5,23.5,0.191,0.479,12.6,24,0.208
2015-16,DET*,NBA,82,44,38,0.537,0.61,-0.18,0.43,95.1,106.1,105.5,0.491,12.2,27,0.197,0.504,12.5,20.7,0.196
2015-16,DEN,NBA,82,33,49,0.402,-3.1,0.29,-2.81,95.7,105.6,108.9,0.489,13.2,25.8,0.216,0.515,12.6,22.7,0.216
2015-16,DAL*,NBA,82,42,40,0.512,-0.3,0.29,-0.02,94.3,106.7,107,0.502,12,20.6,0.211,0.504,12.8,23.8,0.198
2015-16,CLE*,NBA,82,57,25,0.695,6,-0.55,5.45,93.3,110.9,104.5,0.524,12.7,25.1,0.194,0.496,12.6,21.5,0.205
2015-16,CHO*,NBA,82,48,34,0.585,2.72,-0.36,2.36,95.7,107.1,104.3,0.502,11.7,20,0.222,0.496,12.5,20.2,0.191
2015-16,CHI,NBA,82,42,40,0.512,-1.48,0.01,-1.46,95.7,105,106.5,0.487,12.6,24.5,0.189,0.485,10.7,25.1,0.182
2015-16,BRK,NBA,82,21,61,0.256,-7.35,0.24,-7.12,95.2,103.2,110.9,0.492,13.6,24.1,0.186,0.534,13.1,24.3,0.176
2015-16,BOS*,NBA,82,48,34,0.585,3.21,-0.37,2.84,98.5,106.8,103.6,0.488,12.1,25.1,0.208,0.487,14.6,25.4,0.231
2015-16,ATL*,NBA,82,48,34,0.585,3.61,-0.12,3.49,97.1,105.1,101.4,0.516,13.8,19.1,0.185,0.48,14.4,25.4,0.194
2014-15,WAS*,NBA,82,46,36,0.561,0.72,-0.55,0.17,93.7,103.7,103,0.499,14,24.9,0.192,0.481,12.9,22.7,0.21
2014-15,UTA,NBA,82,38,44,0.463,0.22,0.49,0.71,90.4,105.1,104.9,0.494,14.6,29.1,0.214,0.491,12.8,23.7,0.199
2014-15,TOR*,NBA,82,49,33,0.598,3.07,-0.62,2.45,92.8,111,107.7,0.508,12,25.6,0.232,0.506,13.4,26.7,0.208
2014-15,SAS*,NBA,82,55,27,0.671,6.2,0.14,6.34,93.8,108.5,102,0.517,13.1,23.4,0.2,0.484,13.3,22.7,0.19
